,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
113,2023-01-04,147.09546129492358,126.58498540011635,182.7344870419422,147.09546129492358,147.09546129492358,7.78950805403599,7.78950805403599,7.78950805403599,7.78950805403599,7.78950805403599,7.78950805403599,0.0,0.0,0.0,154.88496934895957
114,2023-01-05,147.16188115900312,126.01733006581622,182.83489074281312,147.16188115900312,147.16188115900312,7.200193369716149,7.200193369716149,7.200193369716149,7.200193369716149,7.200193369716149,7.200193369716149,0.0,0.0,0.0,154.36207452871926
115,2023-01-06,147.22830102308265,126.98124346571714,181.06525579545848,147.22830102308265,147.22830102308265,7.586325339744004,7.586325339744004,7.586325339744004,7.586325339744004,7.586325339744004,7.586325339744004,0.0,0.0,0.0,154.81462636282666
116,2023-01-09,147.42756061532125,129.08581513858755,183.95657821313972,147.42756061532125,147.42756061532125,8.152214075191925,8.152214075191925,8.152214075191925,8.152214075191925,8.152214075191925,8.152214075191925,0.0,0.0,0.0,155.57977469051318
117,2023-01-10,147.49398047940082,125.06539134340879,181.914447177773,147.49398047940082,147.49398047940082,6.5445776270747364,6.5445776270747364,6.5445776270747364,6.5445776270747364,6.5445776270747364,6.5445776270747364,0.0,0.0,0.0,154.03855810647556
118,2023-01-11,147.56040034348035,128.37870205726566,184.2404872050927,147.56040034348035,147.56040034348035,7.789508054032662,7.789508054032662,7.789508054032662,7.789508054032662,7.789508054032662,7.789508054032662,0.0,0.0,0.0,155.34990839751302
119,2023-01-12,147.6268202075599,124.96862535926283,182.33344117835904,147.6268202075599,147.6268202075599,7.200193369737883,7.200193369737883,7.200193369737883,7.200193369737883,7.200193369737883,7.200193369737883,0.0,0.0,0.0,154.82701357729778
120,2023-01-13,147.69324007163945,124.91026016189124,183.69946975640872,147.69324007163945,147.69324007163945,7.586325339747497,7.586325339747497,7.586325339747497,7.586325339747497,7.586325339747497,7.586325339747497,0.0,0.0,0.0,155.27956541138695
121,2023-01-17,148.98848227301033,126.06710401778815,183.39572765050028,148.98848227301033,148.98848227301033,6.544577627077842,6.544577627077842,6.544577627077842,6.544577627077842,6.544577627077842,6.544577627077842,0.0,0.0,0.0,155.53305990008818
122,2023-01-18,149.31229282335303,130.09234270353127,186.56670415649884,149.31229282335303,149.31229282335303,7.789508054032646,7.789508054032646,7.789508054032646,7.789508054032646,7.789508054032646,7.789508054032646,0.0,0.0,0.0,157.10180087738567
123,2023-01-19,149.63610337369576,128.86797601985845,184.7700153058205,149.63610337369576,149.63610337369576,7.2001933697325144,7.2001933697325144,7.2001933697325144,7.2001933697325144,7.2001933697325144,7.2001933697325144,0.0,0.0,0.0,156.83629674342828
124,2023-01-20,149.9599139240385,131.11944983524734,186.2702949912508,149.9599139240385,149.9599139240385,7.586325339728086,7.586325339728086,7.586325339728086,7.586325339728086,7.586325339728086,7.586325339728086,0.0,0.0,0.0,157.54623926376658
125,2023-01-23,150.93134557506664,131.3327084786646,186.7238682422469,150.93134557506664,150.93134557506664,8.152214075153797,8.152214075153797,8.152214075153797,8.152214075153797,8.152214075153797,8.152214075153797,0.0,0.0,0.0,159.08355965022045
126,2023-01-24,151.25515612540937,130.42791213094384,184.46217505294464,151.25515612540937,151.25515612540937,6.5445776270809475,6.5445776270809475,6.5445776270809475,6.5445776270809475,6.5445776270809475,6.5445776270809475,0.0,0.0,0.0,157.7997337524903
127,2023-01-25,151.5789666757521,130.48842324458468,189.29467443835318,151.5789666757521,151.5789666757521,7.78950805403414,7.78950805403414,7.78950805403414,7.78950805403414,7.78950805403414,7.78950805403414,0.0,0.0,0.0,159.36847472978624
128,2023-01-26,151.9027772260948,130.85943794247183,184.76667731008777,151.9027772260948,151.9027772260948,7.200193369740696,7.200193369740696,7.200193369740696,7.200193369740696,7.200193369740696,7.200193369740696,0.0,0.0,0.0,159.1029705958355
